"TOTAL_VOTOS","PRI","PRD","PAN","TOTAL_VOTOS06","PRI06","PRD06","PAN06","Long","Lat","name","num"
335689,123650,77358,105805,296175,67506,64929,139674,-102.30041,21.8794,"Aguascalientes, Ags",0
18004,7524,2186,5989,13614,3069,3137,6318,-102.08957,22.238,"Asientos, Ags",1
22607,9116,2675,8691,17258,2898,3241,9891,-102.71875,21.84662,"Calvillo, Ags",2
6266,3213,560,1530,4877,1526,886,2180,-102.29762,22.36632,"Cosío, Ags",3
35637,14482,5424,13044,25266,7043,3926,12597,-102.34513,21.96273,"Jesús María, Ags",4
16683,7663,3131,2675,13321,4236,3867,4019,-102.27512,22.14522,"Pabellón de Arteaga, Ags",5
18742,8183,3314,4057,14170,3556,3122,6124,-102.31958,22.2305,"Rincón de Romos, Ags",6
4027,1505,1025,889,2994,689,997,1076,-102.41485,22.14744,"San José de Gracia, Ags",7
8445,3756,1214,2440,5945,1659,1092,2818,-102.16873,22.22328,"Tepezalá, Ags",8
7920,3770,1671,1703,6023,2252,1377,1952,-101.96346,21.91773,"El Llano, Ags",9
12795,6203,1802,3311,9196,2528,2000,4003,-102.27152,22.07773,"San Francisco de los Romo, Ags",10
185276,69902,66260,40653,137089,24689,36911,64968,-116.61167,31.8637,"Ensenada, BC",11
368651,146538,87172,117871,295115,69342,65327,134588,-115.46859,32.66341,"Mexicali, BC",12
39843,18043,9571,10494,29510,6992,7121,13183,-116.64112,32.57229,"Tecate, BC",13
605795,212706,207175,157455,439840,94191,100068,214118,-117.04446,32.53479,"Tijuana, BC",14
36029,12503,13015,8887,23574,4300,7108,10496,-117.05696,32.3423,"Playas de Rosarito, BC",15
30247,14087,4546,10533,24006,4484,9658,8617,-111.67094,25.03257,"Comondú, BCS",16
20843,9452,4029,6385,16837,3347,7591,5003,-112.26762,27.33915,"Mulegé, BCS",17
107485,44830,30945,27377,84844,15341,37834,25820,-110.31145,24.14261,"La Paz, BCS",18
82021,31297,21020,26658,44171,5305,19028,17327,-109.70866,23.06183,"Los Cabos, BCS",19
6834,3546,835,2275,4475,666,1558,2066,-111.34399,26.0131,"Loreto, BCS",20
29326,13046,6536,7973,23712,7852,6031,7845,-90.0523,20.37449,"Calkiní, Camp",21
121511,47923,36327,30902,105978,25611,35156,37540,-90.53176,19.84284,"Campeche, Camp",22
89017,29501,31193,24222,73099,19534,26503,23686,-91.83096,18.644,"Carmen, Camp",23
41800,17582,8076,13990,32239,9931,9117,10512,-90.72065,19.35536,"Champotón, Camp",24
15990,6375,3071,4974,13157,4157,2807,2606,-90.1348,20.17727,"Hecelchakán, Camp",25
25861,11729,4459,8403,19735,7198,5857,5001,-89.84314,19.74506,"Hopelchén, Camp",26
5144,2389,1114,1408,4026,1479,1845,384,-92.0918,18.25625,"Palizada, Camp",27
5946,2948,594,2078,4692,1825,850,1623,-90.22536,20.04033,"Tenabo, Camp",28
23057,9620,5114,7222,18029,4717,7857,3675,-90.73454,18.60734,"Escárcega, Camp",29
17657,7416,3894,5492,11970,3919,2833,4531,-91.04621,18.18513,"Candelaria, Camp",30
726,386,39,280,545,220,75,229,-101.42679,27.18225,"Abasolo, Coah",31
50114,22943,10917,13977,33180,8406,8388,14168,-100.93372,29.32024,"Acuña, Coah",32
9591,4188,920,4184,7201,1913,896,4005,-100.85399,28.34805,"Allende, Coah",33
10979,5982,846,3766,7064,3662,974,1931,-100.84705,25.44566,"Arteaga, Coah",34
1077,578,37,441,792,443,53,276,-100.66426,26.84061,"Candela, Coah",35
11395,5203,2258,3576,8041,2617,2639,2327,-101.43429,26.78421,"Castaños, Coah",36
5624,2695,497,2259,3833,1628,819,1178,-102.06709,26.98615,"Cuatro Ciénegas, Coah",37
1433,761,86,556,867,467,105,262,-101.4129,27.23503,"Escobedo, Coah",38
25974,12475,4907,7370,19913,5936,8165,4415,-103.27351,25.77536,"Francisco I. Madero, Coah",39
29970,10934,6517,11529,23033,6324,6874,8600,-101.44957,26.92671,"Frontera, Coah",40
